"MakeModel";"Alias";"ModelId"
Aero Vodochody L-39;L39 albatros ESYLB;228
Aero Vodochody L-39;L39 albatros Fun;228
Aero Vodochody L-39;L39 albatros Patriot 1;228
Aero Vodochody L-39;L39 albatros Patrouille Breitling;228
Aero Vodochody L-39;L39 albatros RENO 2;228
Aero Vodochody L-39;L39 albatros roumanie 1;228
Aero Vodochody L-39;L39 albatros russe 1;228
Aero Vodochody L-39;L39 albatros russe bleu 1 [KLNC];228
Aero Vodochody L-39;L39 albatros russe bleu 2 [KLNC];228
Aero Vodochody L-39;L39 albatros russe bleu armed [KLNC];228
Aero Vodochody L-39;L39 albatros thai 1;228
Aero Vodochody L-39;L39 albatros west 1;228
Aero Vodochody L-39;Manta Classic (A32NX Converted);228
Aero Vodochody L-39;North American F-86E Sabre 1;228
Aero Vodochody L-39;T-33A;228
Aero Vodochody L-39;T-33A EW-133 Silver Star;228
Aero Vodochody L-39;T-33A T-Bird 438th FIS;228
Aero Vodochody L-39;T-33A T-Bird 57th FIS;228
Aero Vodochody L-39;T-33A T-Bird NASA;228
Aero Vodochody L-39;T-33A T-Bird USAF;228
Aero Vodochody L-39;T-39A  FSX;228
Aero Vodochody L-39;Vodochody L-39;228
Aeronca Champion;"8KCAB Super Decathlon, Greywhite";119
Aeronca Champion;Aeronca 11AC;119
Aeronca Champion;Aeronca 7AC;119
Aeronca Champion;Aeronca C3 Duplex NC15892;119
Aeronca Champion;Aeronca C3 Hughes Flying Service;119
Aeronca Champion;Aeronca C3 ORA;119
Aeronca Champion;"Aeronca Champ ""Tundra""";119
Aeronca Champion;Aeronca Champ 7AC;119
Aeronca Champion;Aeronca Champ 7AC CFS N304CA;119
Aeronca Champion;Aeronca Champ 7AC Charlie Brown;119
Aeronca Champion;Aeronca Champ 7AC Cream and Red;119
Aeronca Champion;Aeronca Champ 7AC G-BVCS;119
Aeronca Champion;Aeronca Champ 7AC Green;119
Aeronca Champion;Aeronca Champ 7AC Green/Green;119
Aeronca Champion;Aeronca Champ 7AC HeviInk;119
Aeronca Champion;Aeronca Champ 7AC N1120E;119
Aeronca Champion;Aeronca Champ 7AC N1120E Ski;119
Aeronca Champion;Aeronca Champ 7AC N1162E;119
Aeronca Champion;Aeronca Champ 7AC N1254E;119
Aeronca Champion;Aeronca Champ 7AC N1824E;119
Aeronca Champion;Aeronca Champ 7AC N3547E;119
Aeronca Champion;Aeronca Champ 7AC N7586E Red-White;119
Aeronca Champion;Aeronca Champ 7AC OY Ski;119
Aeronca Champion;Aeronca Champ 7AC paint;119
Aeronca Champion;Aeronca Champ 7AC RWB;119
Aeronca Champion;Aeronca Champ 7AC RWB Ski;119
Aeronca Champion;Aeronca Champ 7AC Yellow/White;119
Aeronca Champion;Aeronca Champ 7AC ZK-KCO;119
Aeronca Champion;Aeronca Champ 7BCM;119
Aeronca Champion;Aeronca Champ 7BCM N1120E;119
Aeronca Champion;Aeronca Champ 7BCM N1162E;119
